ORGANIZATION_ETXT,NSM_CD,NOTE_ETXT,NOTES_FTXT,PSTREET,PCITY,PPROVINCE,PPOSTAL,PCOUNTRY,MSTREET,MCITY,MPROVINCE,MPOSTAL,MCOUNTRY,CLASS_TYPE_ETXT,CLASS_ETXT,CLASS_TYPE_FTXT,CLASS_FTXT
Capital Truck Bodies,N80,,,1461 Star Top Rd.,Ottawa,Ontario,K1B 3W5,CANADA,1461 Star Top Rd.,Ottawa,Ontario,K1B 3W5,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
Capital Truck Bodies,N80,,,1461 Star Top Rd.,Ottawa,Ontario,K1B 3W5,CANADA,1461 Star Top Rd.,Ottawa,Ontario,K1B 3W5,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,52 TWP RD 524,Ardossan,Alberta,T8E 2J3,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Trailer,Trailer - Semi Trailer [Air],Remorque,"Remorque, semi, [frein a air]"
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,52 TWP RD 524,Ardossan,Alberta,T8E 2J3,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Trailer,Trailer - Semi Trailer [Air],Remorque,"Remorque, semi, [frein a air]"
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,52 TWP RD 524,Ardossan,Alberta,T8E 2J3,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
Capital Truck Body & Equipment o/a 755968 Alberta Ltd,P45,"Mfg, gravel dump trailers",Fabrique des remorques servant ?ÿ la d??charge de gravier.,52 TWP RD 524,Ardossan,Alberta,T8E 2J3,CANADA,4303 - 69 Avenue,Ardossan,Alberta,T6B 2V2,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
