Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
3553,Private Hire Vehicle,Licence Issued,16/08/15 0:00,15/08/16 0:00,Citroen C4,BJ10JHU,SILVER,South Leeds
3554,Private Hire Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Toyota Auris,MA15YHL,white,Premier Licensed Private Hire
3555,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Skoda Octavia,BT07YMZ,SILVER,Kirkstall Cars
3556,Private Hire Vehicle,Licence Issued,20/09/15 0:00,19/09/16 0:00,Volkswagen Golf,VO10OVP,SILVER,AB Cars
3557,Private Hire Vehicle,Licence Issued,21/08/15 0:00,20/08/16 0:00,Skoda Octavia,PJ13ZNZ,Silver,UBER
3558,Private Hire Vehicle,Licence Issued,31/10/15 0:00,30/10/16 0:00,Skoda Rapid,MA63FZP,BLACK,South Leeds
3559,Private Hire Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Peugeot Partner Combi,SF61KSZ,BLACK,Yeadon Licensed Private Hire
3560,Private Hire Vehicle,Licence Suspended,17/10/15 0:00,16/10/16 0:00,Toyota Avensis,MV60ORX,BLUE,Speed Line
3561,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Skoda Octavia,WP07YLF,Blue,Speed Line
3562,Private Hire Vehicle,Licence Issued,20/10/15 0:00,19/10/16 0:00,Vauxhall Astra,SNZ6908,SILVER,Wheels
3563,Private Hire Vehicle,Licence Issued,28/08/15 0:00,27/08/16 0:00,Skoda Octavia,SK12YOR,WHITE,ITS Roadrunners
3564,Private Hire Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Toyota Avensis,FH57EEY,SILVER,Amber Cars
3565,Private Hire Vehicle,Licence Issued,11/01/15 0:00,10/01/16 0:00,Vauxhall Vectra,YD08OJO,SILVER,Kirkstall Cars
3566,Private Hire Vehicle,Licence Issued,15/04/15 0:00,14/04/16 0:00,Ford Mondeo,YR09GNN,GREY,Ace Cars Leeds Ltd
3567,Private Hire Vehicle,Licence Issued,15/02/15 0:00,14/02/16 0:00,Skoda Octavia,AG58FTK,GREY,South Leeds
3568,Private Hire Vehicle,Licence Issued,10/12/14 0:00,9/12/15 0:00,Skoda Octavia,FY63EJZ,BLUE,Amber Cars
3569,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Toyota Avensis,FH07XAF,BLACK,G And M Cars
3570,Private Hire Vehicle,Licence Issued,11/02/15 0:00,10/02/16 0:00,Skoda Octavia,FV63MZZ,BLACK,South Leeds
3571,Private Hire Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Ford Mondeo,KX08SXE,BLACK,Premier Licensed Private Hire
3572,Private Hire Vehicle,Licence Issued,22/08/15 0:00,21/08/16 0:00,Toyota Auris,SG10USS,BLACK,Ace Cars Leeds Ltd
3573,Private Hire Vehicle,Licence Issued,5/12/14 0:00,4/12/15 0:00,Skoda Octavia,YR11XVL,SILVER,UBER
3574,Private Hire Vehicle,Licence Issued,5/09/15 0:00,4/09/16 0:00,Vauxhall Astra,FG59TJU,SILVER,Kirkstall Cars
3575,Private Hire Vehicle,Licence Issued,10/04/15 0:00,9/04/16 0:00,Toyota Prius,BF58XMJ,SILVER,UBER
3576,Private Hire Vehicle,Licence Issued,12/11/15 0:00,11/11/16 0:00,Volkswagen Passat,SG59YFM,BLACK,Star Supreme Line
3577,Private Hire Vehicle,Licence Issued,12/10/15 0:00,11/10/16 0:00,Skoda Octavia,FP09ZPD,GREY,UBER
3578,Private Hire Vehicle,Licence Issued,20/04/15 0:00,19/04/16 0:00,Toyota Avensis,BJ10AZN,BLACK,Amber Cars
3579,Private Hire Vehicle,Licence Issued,26/01/15 0:00,25/01/16 0:00,Volkswagen Passat,WN11FLD,BLACK,T Line
3580,Private Hire Vehicle,Licence Suspended,1/03/15 0:00,29/02/16 0:00,Toyota Avensis,LS07BTX,SILVER,Morley Cars
3581,Private Hire Vehicle,Licence Issued,18/01/15 0:00,17/01/16 0:00,Honda Accord,K15WJA,BLACK,UBER
3582,Private Hire Vehicle,Licence Issued,12/05/15 0:00,11/05/16 0:00,Mitsubishi Lancer,DV11TXY,RED,Gee Gee Cars
3583,Private Hire Vehicle,Licence Issued,20/06/15 0:00,19/06/16 0:00,Hyundai 130,EF10GSV,BLACK,UBER
3584,Private Hire Vehicle,Licence Issued,1/04/15 0:00,31/03/16 0:00,Toyota Avensis,FP56GSZ,BLACK,UBER
3585,Private Hire Vehicle,Licence Issued,16/11/14 0:00,15/11/15 0:00,Skoda Octavia,NL58NWY,BEIGE,Amber Cars
3586,Private Hire Vehicle,Licence Issued,11/10/15 0:00,10/10/16 0:00,Proton Gen,GV59AEE,BLUE,Abbey Private Hire
3587,Private Hire Vehicle,Licence Issued,27/02/15 0:00,26/02/16 0:00,Toyota Prius,YF60EZP,White,Amber Cars
3588,Private Hire Vehicle,Licence Issued,10/12/14 0:00,9/12/15 0:00,Skoda Octavia,FY63EHH,BLACK,Amber Cars
3589,Private Hire Vehicle,Licence Issued,23/01/15 0:00,22/01/16 0:00,Toyota Auris,HV60LXK,BLUE,Amber Cars
3590,Private Hire Vehicle,Licence Issued,13/07/15 0:00,12/07/16 0:00,Peugeot 508,MT11EDK,BLACK,UBER
3591,Private Hire Vehicle,Licence Issued,28/11/14 0:00,27/11/15 0:00,Skoda Rapid,MA63FZR,,ITS Roadrunners
3592,Private Hire Vehicle,Licence Suspended,1/07/15 0:00,30/06/16 0:00,Skoda Octavia,NV56AOH,RED,New Armley Cars
3593,Private Hire Vehicle,Licence Issued,16/05/15 0:00,15/05/16 0:00,Vauxhall Insignia,YT59FCN,BLACK,NOT WORKING
3594,Private Hire Vehicle,Licence Issued,5/06/15 0:00,7/06/16 0:00,Vauxhall Vectra,AC08VJP,BLUE,Ace Cars Leeds Ltd
3595,Private Hire Vehicle,Licence Issued,18/03/15 0:00,17/03/16 0:00,Vauxhall Vectra,FE58AOL,SILVER,UBER
3596,Private Hire Vehicle,Licence Issued,14/10/15 0:00,13/10/16 0:00,Skoda Octavia,PK58DWN,RED,Geo Cars 3 (HQ)
3597,Private Hire Vehicle,Licence Issued,6/07/15 0:00,5/07/16 0:00,Toyota Avensis,YF12NCZ,SILVER,UBER
3598,Private Hire Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Toyota Auris,MA15YHP,White,Premier Licensed Private Hire
3599,Private Hire Vehicle,Licence Issued,2/01/15 0:00,1/01/16 0:00,Toyota Avensis,PL07FWG,SILVER,Premier Licensed Private Hire
3600,Private Hire Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Volkswagen Passat,AJ56AFF,BLUE,UBER
3601,Private Hire Vehicle,Licence Issued,20/10/15 0:00,19/10/16 0:00,Skoda Octavia,OV10LFU,BLACK,Wheels
3602,Private Hire Vehicle,Licence Issued,5/12/14 0:00,4/12/15 0:00,Volkswagen Passat,VN60LFP,SILVER,Amber Cars
3603,Private Hire Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Skoda Octavia,AJ09TFX,SILVER,South Leeds
3604,Private Hire Vehicle,Licence Issued,13/02/15 0:00,12/02/16 0:00,Vauxhall Astra,FD12KUY,GREY,Premier Licensed Private Hire
3605,Private Hire Vehicle,Licence Issued,24/06/15 0:00,23/06/16 0:00,Volkswagen Golf,DA11JYR,BLACK,Arrow
3606,Private Hire Vehicle,Licence Issued,6/07/15 0:00,5/07/16 0:00,Skoda Rapid,FV13WBD,BLACK,Wheels
3607,Private Hire Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Toyota Avensis,AN57ARM,SILVER,ITS Roadrunners
3608,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Volkswagen Jetta,AD07BFF,GREY,ITS Roadrunners
3609,Private Hire Vehicle,Licence Suspended,3/02/15 0:00,2/02/16 0:00,Toyota Avensis,CE60EVW,BLACK,Amber Cars
3610,Private Hire Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Skoda Octavia,YH10SXO,WHITE,Rollinson Safeway Ltd
3611,Private Hire Vehicle,Licence Issued,24/04/15 0:00,23/04/16 0:00,Vauxhall Vectra,YK08YZW,Silver,Wheels
3612,Private Hire Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Skoda Octavia,BV61OYU,SILVER,Wheels
3613,Private Hire Vehicle,Licence Issued,8/07/15 0:00,7/07/16 0:00,Vauxhall Vectra,K4YAR,Silver,Premier Licensed Private Hire
3614,Private Hire Vehicle,Licence Issued,8/04/15 0:00,7/04/16 0:00,Toyota Avensis,YH15LGX,,Arrow
3615,Private Hire Vehicle,Licence Issued,17/10/15 0:00,16/10/16 0:00,Seat Leon,BF10FHA,,Highways Private Hire
3616,Private Hire Vehicle,Licence Issued,6/05/15 0:00,5/05/16 0:00,Volkswagen Jetta,BG10AYA,SILVER,Premier Licensed Private Hire
3617,Private Hire Vehicle,Licence Issued,25/06/15 0:00,24/06/16 0:00,Toyota Auris,S999MRX,SILVER,Speed Line
3618,Private Hire Vehicle,Licence Issued,25/02/15 0:00,24/02/16 0:00,Toyota Avensis,S33 PJD,SILVER,SJK Travel2Airport.com
3619,Private Hire Vehicle,Licence Issued,21/03/15 0:00,20/03/16 0:00,Skoda Octavia,AE57RYK,RED,Ace Cars Leeds Ltd
3620,Private Hire Vehicle,Licence Issued,15/02/15 0:00,14/02/16 0:00,Skoda Octavia,WG09LYS,GREY,SJK Travel2Airport.com
3621,Private Hire Vehicle,Licence Issued,8/07/15 0:00,7/07/16 0:00,Peugeot Bipper Tepee,NJ13DMU,SILVER,Arrow
3622,Private Hire Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,AK56FYM,BLACK,Stanningley Cars Ltd
3623,Private Hire Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Skoda Octavia,SB57LYP,BLACK,Pudsey B Line
3624,Private Hire Vehicle,Licence Issued,11/05/15 0:00,10/05/16 0:00,Toyota Avensis,MJ60YGL,GREY,Premier Licensed Private Hire
3625,Private Hire Vehicle,Licence Issued,21/02/15 0:00,20/02/16 0:00,Skoda Octavia,RK09UMS,SILVER,Amber Cars
3626,Private Hire Vehicle,Licence Issued,1/04/15 0:00,31/03/16 0:00,Toyota Avensis,GV06HNH,SILVER,Interline
3627,Private Hire Vehicle,Licence Issued,29/04/15 0:00,28/04/16 0:00,Skoda Octavia,GL14XFK,GREY,SJK Travel2Airport.com
3628,Private Hire Vehicle,Licence Issued,30/04/15 0:00,29/04/16 0:00,Skoda Octavia,DE09ACV,GREEN,Time Line
3629,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Skoda Fabia,YE63LVN,WHITE,Rollinson Safeway Ltd
3630,Private Hire Vehicle,Licence Issued,1/04/15 0:00,31/03/16 0:00,Volkswagen Passat,RE07WVL,SILVER,ITS Roadrunners
3632,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Skoda Fabia,YE63LVM,WHITE,Rollinson Safeway Ltd
3633,Private Hire Vehicle,Licence Issued,26/03/15 0:00,25/03/16 0:00,Honda Accord,WH07MAZ,SILVER,Amber Cars
3634,Private Hire Vehicle,Licence Suspended,22/11/14 0:00,21/11/15 0:00,Honda Accord,LG59KNV,GREY,Amber Cars
3636,Private Hire Vehicle,Licence Issued,6/05/15 0:00,5/05/16 0:00,Skoda Octavia,EX13XFH,RED,Aireline/Holbeck Line
3637,Private Hire Vehicle,Licence Issued,16/10/15 0:00,15/10/16 0:00,Toyota Prius,FP60OTA,BLACK,Amber Cars
3638,Private Hire Vehicle,Licence Issued,17/05/15 0:00,16/05/16 0:00,Toyota Prius,FD59EWA,GREY,Amber Cars
3639,Private Hire Vehicle,Licence Issued,30/10/15 0:00,29/10/16 0:00,Skoda Octavia,YH61OEK,BLUE,New Armley Cars
3640,Private Hire Vehicle,Licence Issued,17/10/15 0:00,16/10/16 0:00,Toyota Prius,BF10HBA,SILVER,South Leeds
3641,Private Hire Vehicle,Licence Issued,23/10/15 0:00,22/10/16 0:00,Toyota Auris,YG61ECF,BLUE,UBER
3642,Private Hire Vehicle,Licence Issued,6/09/15 0:00,5/09/16 0:00,Skoda Octavia,FT62RUY,BLUE,Amber Cars
3643,Private Hire Vehicle,Licence Issued,3/01/15 0:00,2/01/16 0:00,Toyota Avensis,FL59BZS,SILVER,Morley Cars
3644,Private Hire Vehicle,Licence Issued,1/04/15 0:00,31/03/16 0:00,Toyota Avensis,YK07LFZ,BLACK,Premier Licensed Private Hire
3645,Private Hire Vehicle,Licence Issued,24/10/15 0:00,23/10/16 0:00,Toyota Avensis,YG61YGC,BLACK,UBER
3646,Private Hire Vehicle,Licence Suspended,1/12/14 0:00,30/11/15 0:00,Skoda Octavia,AC08UKO,GREY,UBER
3647,Private Hire Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Volkswagen Jetta,YB07FNJ,SILVER,Wheels
3648,Private Hire Vehicle,Licence Issued,23/05/15 0:00,22/05/16 0:00,Skoda Octavia,FR13AUL,BEIGE,Amber Cars
3649,Private Hire Vehicle,Licence Issued,23/03/15 0:00,22/03/16 0:00,Skoda Octavia,OY60DWL,BLUE,Morley Central Line
3651,Private Hire Vehicle,Licence Issued,28/01/15 0:00,27/01/16 0:00,Toyota Avensis,YF60ETT,SILVER,Time Line
3652,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Skoda Octavia,FV60YCM,BLUE,Amber Cars
3653,Private Hire Vehicle,Licence Issued,13/02/15 0:00,12/02/16 0:00,Toyota Avensis,ML64OTZ,BLACK,UBER
3654,Private Hire Vehicle,Licence Issued,31/10/15 0:00,30/10/16 0:00,Seat Exeo,FR11EZH,SILVER,UBER
3656,Private Hire Vehicle,Licence Issued,4/07/15 0:00,3/07/16 0:00,Mazda 6TS2,LT61LXY,BLACK,Arrow
3657,Private Hire Vehicle,Licence Issued,20/06/15 0:00,19/06/16 0:00,Skoda Octavia,AJ10RPX,BEIGE,Amber Cars
3658,Private Hire Vehicle,Licence Issued,10/11/15 0:00,9/11/16 0:00,Kia Ceed,FV12HKZ,BLACK,Amber Cars
3659,Private Hire Vehicle,Licence Issued,28/10/15 0:00,27/10/16 0:00,Jaguar X Type,GK61 SNJ,Silver,Geo Cars 3 (HQ)
3660,Private Hire Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Skoda Octavia,AY56XNE,BLACK,Speed Line
3661,Private Hire Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Toyota Auris,EN11JNL,White,UBER
3662,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Skoda Octavia,YC58PGY,SILVER,Ace Cars Leeds Ltd
3663,Private Hire Vehicle,Licence Issued,21/04/15 0:00,20/04/16 0:00,Skoda Octavia,GK08WTR,BLACK,Premier Licensed Private Hire
3664,Private Hire Vehicle,Licence Issued,29/05/15 0:00,28/05/16 0:00,Volkswagen Golf,WN58AYU,RED,UBER
3665,Private Hire Vehicle,Licence Issued,14/09/15 0:00,13/09/16 0:00,Volkswagen Passat,VKZ2649,BLACK,UBER
3666,Private Hire Vehicle,Licence Issued,5/11/15 0:00,4/11/16 0:00,Seat Exeo,WR11EVX,BLACK,AB Cars
3667,Private Hire Vehicle,Licence Issued,16/01/15 0:00,15/01/16 0:00,Skoda Superb,YD61UXH,Blue,G And M Cars
3668,Private Hire Vehicle,Licence Issued,13/08/15 0:00,12/08/16 0:00,Skoda Octavia,YY11FVC,SILVER,Highways Private Hire
3669,Private Hire Vehicle,Licence Issued,22/04/15 0:00,21/04/16 0:00,Toyota Avensis,FE11XAY,GREY,Premier Licensed Private Hire
3670,Private Hire Vehicle,Licence Issued,3/05/15 0:00,2/05/16 0:00,Volkswagen Passat,KP10ETF,Black,Arrow
3671,Private Hire Vehicle,Licence Issued,18/02/15 0:00,17/02/16 0:00,Seat Exeo,FH11PKU,BLACK,Ace Cars Leeds Ltd
3672,Private Hire Vehicle,Licence Issued,28/11/14 0:00,27/11/15 0:00,Seat Leon,VN10URT,Black,Time Line
3673,Private Hire Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Skoda Octavia,YH10SXR,WHITE,Rollinson Safeway Ltd
3674,Private Hire Vehicle,Licence Issued,22/02/15 0:00,21/02/16 0:00,Skoda Octavia,VE08OUV,GREY,Stanningley Cars Ltd
3675,Private Hire Vehicle,Licence Issued,28/02/15 0:00,27/02/16 0:00,Skoda Octavia,A8BYD,RED,UBER
3676,Private Hire Vehicle,Licence Issued,12/04/15 0:00,11/04/16 0:00,Audi A4,NC08XUT,SILVER,Premier Licensed Private Hire
3678,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Volkswagen Passat,BL56VZT,BLUE,Geo Cars 3 (HQ)
3680,Private Hire Vehicle,Licence Issued,22/11/15 0:00,21/11/16 0:00,Citroen Berlingo MSP,SL63VNW,SILVER,South Leeds
3681,Private Hire Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Skoda Octavia,YH10SXW,WHITE,Rollinson Safeway Ltd
3682,Private Hire Vehicle,Licence Issued,10/05/15 0:00,9/05/16 0:00,Toyota Prius,FG58GJV,BLUE,Stanningley Cars Ltd
3683,Private Hire Vehicle,Licence Issued,2/04/15 0:00,1/04/16 0:00,Volkswagen Passat,YC60ZZS,GREY,SJK Travel2Airport.com
3684,Private Hire Vehicle,Licence Issued,7/04/15 0:00,6/04/16 0:00,Ford Mondeo,YD14NXC,BLACK,NOT WORKING
3685,Private Hire Vehicle,Licence Issued,29/04/15 0:00,28/04/16 0:00,Skoda Octavia,GL14XBM,SILVER,Arrow
3686,Private Hire Vehicle,Licence Issued,22/04/15 0:00,21/04/16 0:00,Vauxhall Insignia,K12ERW,BLACK,UBER
3687,Private Hire Vehicle,Licence Issued,25/07/15 0:00,24/07/16 0:00,Vauxhall Astra,DY11FKB,SILVER,AB Cars
3688,Private Hire Vehicle,Licence Issued,29/04/15 0:00,28/04/16 0:00,Toyota Auris,HJ60UNZ,WHITE,UBER
3689,Private Hire Vehicle,Licence Issued,29/05/15 0:00,28/05/16 0:00,Volkswagen Passat,AD09ZDH,GREY,UBER
3690,Private Hire Vehicle,Licence Issued,30/09/15 0:00,29/09/16 0:00,Toyota Prius,KU09WXV,BLACK,Amber Cars
3691,Private Hire Vehicle,Licence Issued,19/06/15 0:00,18/06/16 0:00,Vauxhall Astra,MA60BXE,BLACK,South Leeds
3692,Private Hire Vehicle,Licence Issued,11/08/15 0:00,10/08/16 0:00,Skoda Octavia,OV11XGP,BLACK,UBER
3693,Private Hire Vehicle,Licence Issued,4/09/15 0:00,3/09/16 0:00,BMW 320D,YR60JYU,,Gee Gee Cars
3694,Private Hire Vehicle,Licence Issued,9/06/15 0:00,8/06/16 0:00,Vauxhall Astra,FN10OER,GREY,Amber Cars
3696,Private Hire Vehicle,Licence Issued,20/09/15 0:00,19/09/16 0:00,Skoda Octavia,YT10HMY,SILVER,Amber Cars
3697,Private Hire Vehicle,Licence Issued,11/01/15 0:00,10/01/16 0:00,Citroen Berlingo MSP,YH09XOJ,SILVER,Wheels
3698,Private Hire Vehicle,Licence Issued,7/04/15 0:00,6/04/16 0:00,Ford Mondeo,YD14NXR,BLACK,Geo Cars 3 (HQ)
3700,Private Hire Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Toyota Avensis,UKZ6290,BLACK,G And M Cars
3701,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Vauxhall Astra,KU09TYV,SILVER,UBER
3702,Private Hire Vehicle,Licence Issued,2/09/15 0:00,1/09/16 0:00,Toyota Avensis,KR59OPG,BLUE,Amber Cars
3703,Private Hire Vehicle,Licence Issued,27/07/15 0:00,26/07/16 0:00,Toyota Auris,HF63BZW,RED,UBER
3704,Private Hire Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Skoda Octavia,CP10OEC,BLACK,Speed Line
3705,Private Hire Vehicle,Licence Issued,4/04/15 0:00,3/04/16 0:00,Seat Toledo,YF13MPE,BLUE,Stanningley Cars Ltd
3706,Private Hire Vehicle,Licence Issued,20/05/15 0:00,19/05/16 0:00,Skoda Octavia,OV12NXW,Silver,Aireline/Holbeck Line
3707,Private Hire Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Toyota Avensis,AF12GPX,Black,Arrow
3709,Private Hire Vehicle,Licence Issued,3/11/15 0:00,2/11/16 0:00,Vauxhall Astra,BK60KBJ,Silver,UBER
3710,Private Hire Vehicle,Licence Issued,4/04/15 0:00,3/04/16 0:00,Nissan Tiida,CX59AJV,BLACK,Stanningley Cars Ltd
3711,Private Hire Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Toyota Avensis,FV56NXF,BLACK,Kirkstall Cars
3712,Private Hire Vehicle,Licence Issued,3/11/15 0:00,2/11/16 0:00,Seat Exeo,OV11UZU,RED,Morley Central Line
3713,Private Hire Vehicle,Licence Issued,25/06/15 0:00,24/06/16 0:00,Toyota Avensis,MK61VGC,SILVER,Gee Gee Cars
3714,Private Hire Vehicle,Licence Issued,4/04/15 0:00,3/04/16 0:00,Skoda Octavia,SJ59LUE,SILVER,Geo Cars 3 (HQ)
3715,Private Hire Vehicle,Licence Issued,8/12/14 0:00,7/12/15 0:00,Volkswagen Passat,FY11MVL,BLACK,UBER
3716,Private Hire Vehicle,Licence Issued,5/08/15 0:00,4/08/16 0:00,Vauxhall Astra,FG58NHB,Silver,Amber Cars
3717,Private Hire Vehicle,Licence Suspended,15/02/15 0:00,14/02/16 0:00,Vauxhall Vectra,EY08YDA,SILVER,Wheels
3718,Private Hire Vehicle,Licence Issued,3/11/15 0:00,2/11/16 0:00,Hyundai 130,BW11AFY,RED,Wheels
3719,Private Hire Vehicle,Licence Issued,21/07/15 0:00,20/07/16 0:00,Toyota Avensis,YS10VSY,SILVER,Blue Line
3720,Private Hire Vehicle,Licence Issued,26/03/15 0:00,25/03/16 0:00,Honda Accord,FM57CSX,BLACK,Wheels
3722,Private Hire Vehicle,Licence Issued,1/12/15 0:00,30/11/16 0:00,Toyota Corolla,SO06YRA,SILVER,Interline
3724,Private Hire Vehicle,Licence Issued,29/04/15 0:00,28/04/16 0:00,Seat Exeo,NL61JZF,Black,Amber Cars
3725,Private Hire Vehicle,Licence Issued,11/06/15 0:00,10/06/16 0:00,Toyota Avensis,FV09HFN,BLACK,Amber Cars
3726,Private Hire Vehicle,Licence Issued,4/09/15 0:00,3/09/16 0:00,Vauxhall Astra,DU12EFV,GREY,Premier Licensed Private Hire
3727,Private Hire Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Vauxhall Vectra,HG58UGY,BLUE,UBER
3728,Private Hire Vehicle,Licence Suspended,18/10/15 0:00,17/10/16 0:00,Renault Laguna,YD60XFY,GREY,Amber Cars
3729,Private Hire Vehicle,Licence Issued,7/04/15 0:00,6/04/16 0:00,Volkswagen Passat,FN59YSE,BLUE,SJK Travel2Airport.com
3730,Private Hire Vehicle,Licence Issued,27/07/15 0:00,26/07/16 0:00,BMW 320D,KN11BHX,BLUE,UBER
3731,Private Hire Vehicle,Licence Issued,2/09/15 0:00,1/09/16 0:00,Skoda Octavia,OE09OCJ,Silver,UBER
3732,Private Hire Vehicle,Licence Issued,29/05/15 0:00,28/05/16 0:00,Vauxhall Vectra,DU58YOG,SILVER,Amber Cars
3733,Private Hire Vehicle,Licence Issued,29/07/15 0:00,28/07/16 0:00,Volkswagen Jetta,YX09WNU,Black,SJK Travel2Airport.com
3734,Private Hire Vehicle,Licence Issued,19/09/15 0:00,18/09/16 0:00,Vauxhall Astra,PK59KFF,SILVER,Premier Licensed Private Hire
3735,Private Hire Vehicle,Licence Issued,18/05/15 0:00,17/05/16 0:00,Seat Toledo,BG15XAO,SILVER,South Leeds
3736,Private Hire Vehicle,Licence Issued,24/08/15 0:00,23/08/16 0:00,Toyota Prius,M11EHR,BLUE,Gee Gee Cars
3737,Private Hire Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Toyota Avensis,GP56PEO,BLACK,Star Supreme Line
3738,Private Hire Vehicle,Licence Issued,12/12/14 0:00,11/12/15 0:00,Skoda Octavia,FY63FFT,BLUE,Amber Cars
3739,Private Hire Vehicle,Licence Issued,9/09/15 0:00,8/09/16 0:00,Toyota Avensis,FE12 DYU,BLUE,Amber Cars
3740,Private Hire Vehicle,Licence Issued,18/01/15 0:00,17/01/16 0:00,Toyota Avensis,YR58APU,GREY,Amber Cars
3741,Private Hire Vehicle,Licence Issued,18/02/15 0:00,17/02/16 0:00,Skoda Octavia,SV63FUE,SILVER,Amber Cars
3742,Private Hire Vehicle,Licence Issued,4/11/15 0:00,3/11/16 0:00,Toyota Avensis,RJ62JXP,white,Premier Licensed Private Hire
3743,Private Hire Vehicle,Licence Issued,22/09/15 0:00,21/09/16 0:00,Skoda Octavia,FR13OHV,SILVER,Amber Cars
3744,Private Hire Vehicle,Licence Issued,22/05/15 0:00,21/05/16 0:00,Ford Mondeo,RA08TOU,BLUE,Wheels
3745,Private Hire Vehicle,Licence Issued,13/04/15 0:00,12/04/16 0:00,Vauxhall Astra,YF13EDR,GREY,Speed Line
3746,Private Hire Vehicle,Licence Issued,26/03/15 0:00,25/03/16 0:00,Skoda Octavia,GD07MLY,BLACK,Amber Cars
3747,Private Hire Vehicle,Licence Issued,7/09/15 0:00,6/09/16 0:00,Peugeot Bipper Tepee,SC15VLD,sILVER,SJK Travel2Airport.com
3748,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Skoda Octavia,SA58GPK,BLACK,Amber Cars
3749,Private Hire Vehicle,Licence Issued,3/12/14 0:00,2/12/15 0:00,Vauxhall Astra,SH10RWX,BLUE,Morley Cars
3750,Private Hire Vehicle,Licence Issued,10/05/15 0:00,9/05/16 0:00,Citroen Berlingo,YC13KHH,GREY,Premier Licensed Private Hire
3751,Private Hire Vehicle,Licence Issued,24/07/15 0:00,23/07/16 0:00,Honda Accord,LD11 BRF,BLACK,SJK Travel2Airport.com
3752,Private Hire Vehicle,Licence Issued,7/04/15 0:00,6/04/16 0:00,Toyota Avensis,BD59NWM,BLACK,UBER
3753,Private Hire Vehicle,Licence Issued,11/01/15 0:00,10/01/16 0:00,Skoda Octavia,RF58WXD,BLACK,Amber Cars
3754,Private Hire Vehicle,Licence Issued,21/08/15 0:00,20/08/16 0:00,Skoda Octavia,FT62KJJ,Silver,Premier Licensed Private Hire
3755,Private Hire Vehicle,Licence Issued,5/06/15 0:00,4/06/16 0:00,Vauxhall Insignia,BG14GVY,GREY,New Armley Cars
3756,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Volkswagen Passat,VE56FYN,BLACK,Blue Line
3757,Private Hire Vehicle,Licence Issued,5/04/15 0:00,4/04/16 0:00,Toyota Prius,DN58PTU,BLACK,Premier Licensed Private Hire
3758,Private Hire Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,OE07JUT,SILVER,Amber Cars
3760,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Toyota Corolla,PJ06WXE,SILVER,ITS Roadrunners
3761,Private Hire Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Toyota Avensis,FG58JLU,GREY,ITS Roadrunners
3762,Private Hire Vehicle,Licence Issued,30/03/15 0:00,29/03/16 0:00,Skoda Octavia,BD57RNE,SILVER,Beeston Line
3763,Private Hire Vehicle,Licence Issued,24/08/15 0:00,23/08/16 0:00,Skoda Octavia,YE58XCG,GREY,Network Cars
