Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
131,Hackney Carriage Vehicle,Licence Issued,4/04/15 0:00,3/04/16 0:00,Toyota Avensis,YR07YSU,B/W,Independent Hackney Carriage
132,Hackney Carriage Vehicle,Licence Issued,20/11/14 0:00,19/11/15 0:00,Audi A4,AB10BOS,BLACK/WHITE,City Cabs
133,Hackney Carriage Vehicle,Licence Issued,3/08/15 0:00,2/08/16 0:00,Volkswagen Passat,R22ULY,B&W,Streamline/Telecabs
134,Hackney Carriage Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Toyota Avensis,YH55HSA,B & W,Independent Hackney Carriage
135,Hackney Carriage Vehicle,Licence Issued,31/08/15 0:00,30/08/16 0:00,Skoda Octavia,EY58UZW,B/W,Streamline/Telecabs
136,Hackney Carriage Vehicle,Licence Issued,13/05/15 0:00,12/05/16 0:00,Toyota Avensis,ML10OKR,BLACK,Independent Hackney Carriage
137,Hackney Carriage Vehicle,Licence Issued,19/11/14 0:00,18/11/15 0:00,Volkswagen Passat,R444ESS,GREY,Independent Hackney Carriage
138,Hackney Carriage Vehicle,Licence Issued,13/03/15 0:00,12/03/16 0:00,Skoda Octavia,YY12OZM,B/W,Streamline/Telecabs
139,Hackney Carriage Vehicle,Licence Issued,13/03/15 0:00,12/03/16 0:00,Toyota Avensis,FN09XOZ,B/W,Station Taxis
14,Hackney Carriage Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Skoda Superb,OV57PKY,BLACK/WHITE,Independent Hackney Carriage
140,Hackney Carriage Vehicle,Licence Issued,15/03/15 0:00,14/03/16 0:00,Vauxhall Vectra,K44LYO,B/W,Eurocabs
141,Hackney Carriage Vehicle,Licence Issued,19/11/14 0:00,18/11/15 0:00,Honda Accord,WF59ZRC,B & W,City Cabs
142,Hackney Carriage Vehicle,Licence Issued,9/10/15 0:00,8/10/16 0:00,Skoda Octavia,SA09DXK,BLACK/WHITE,Streamline/Telecabs
143,Hackney Carriage Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Toyota Avensis,ST05WWU,B & W,Eurocabs
144,Hackney Carriage Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Vauxhall Vectra,BJ07FHF,BLACK/WHITE,Streamline/Telecabs
145,Hackney Carriage Vehicle,Licence Issued,3/07/15 0:00,2/07/16 0:00,Skoda Octavia,ML11TBZ,Black/White,City Cabs
146,Hackney Carriage Vehicle,Licence Issued,20/08/15 0:00,19/08/16 0:00,Honda Accord,HN09DNV,B/W,Eurocabs
147,Hackney Carriage Vehicle,Licence Issued,29/06/15 0:00,28/06/16 0:00,Skoda Superb,FV07KMK,B & W,Streamline/Telecabs
148,Hackney Carriage Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Skoda Octavia,TAX3Y,B/W,City Cabs
149,Hackney Carriage Vehicle,Licence Issued,17/08/15 0:00,16/08/16 0:00,Honda Accord,YS08ONK,BLACK/WHITE,City Cabs
15,Hackney Carriage Vehicle,Licence Issued,17/05/15 0:00,16/05/16 0:00,Skoda Octavia,YF59FHV,Black & White,Streamline/Telecabs
150,Hackney Carriage Vehicle,Licence Issued,29/06/15 0:00,28/06/16 0:00,Skoda Octavia,YY08XGZ,BLACK&WHITE,Eurocabs
