status,id,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
Published,118,7-Eleven Mermaid Waters,"1 Lakeview Boulevard, Mermaid Waters, Queensland, Australia",-28.040189,153.408303,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,121,7-Eleven Mooloolaba,"85 The Esplanade, Mooloolaba, Sunshine Coast",-26.6841,153.125,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1306,7-Eleven Moorvale,"841 Ipswich Road, Moorooka, Queensland, Australia",-27.523933,153.02343,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,122,7-Eleven Morayfield,"272 Morayfield Road, Morayfield, Northern",-27.1123,152.951,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1311,7-Eleven Mt Gravatt East,"318 Creek Road, Mount Gravatt East, Queensland, Australia",-27.531895,153.09351,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,124,7-Eleven Murrumba Downs,"9 Blyth Road, Murrumba Downs, Northern",-27.2732,153.015,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Archived,27,7-Eleven Myer Centre Brisbane,"91 Queen Street, Brisbane , Brisbane Central",-27.4703,153.025,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Airlie Beach,
Published,1321,7-Eleven Nambour,"922 Nambour Connection Road, Nambour, Queensland, Australia",-26.616492,152.969461,,1,Standard retailer,,,,,,,,,,Sunshine Coast,
Published,936,7-Eleven Nerang,"70 Beaudesert-Nerang Road, Nerang, Queensland, Australia",-27.993062,153.333025,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,128,7-Eleven New Farm,"79 Merthyr Road, New Farm, Brisbane Central",-27.4674,153.046,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1326,7-Eleven Newmarket,"85 Enoggera Road, Newmarket, Queensland, Australia",-27.438633,153.007559,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,1331,7-Eleven Ningi,"1102 Bribie Island Road, Ningi, Queensland, Australia",-27.061943,153.079498,,1,Standard retailer,,,,,,,,,,Redlands,
Published,129,7-Eleven Noosa,"91-97 Noosa Drive, Noosa Heads, Sunshine Coast",-26.3971,153.088,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,164,7-Eleven Orchid Avenue Surfers Paradise,"7a Cavill Court, Orchid Avenue, Surfers Paradise, Gold Coast",-28.001777,153.429638,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1646,7-Eleven Ormeau,"7 Eggersdorf Road, Ormeau, Queensland, Australia",-27.78611,153.258136,Brisbane,1,Standard retailer,,,,,,,,,,Brisbane,
Published,132,7-Eleven Oxenford,"170 Old Pacific Highway, Oxenford, Gold Coast",-27.885812,153.313517,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,861,7-Eleven Pacific Pines,"31 Pitcairn Way, Pacific Pines, Queensland, Australia",-27.946272,153.321239,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,986,7-Eleven Palm Beach,"1186 Gold Coast Highway, Palm Beach, Queensland, Australia",-28.118114,153.47051,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,135,7-Eleven Palm Beach North,"1346-1354 Gold Coast Highway, Palm Beach North, Palm Beach, Gold Coast",-28.109083,153.465528,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,137,7-Eleven Parkwood,"236 Napper Road, Parkwood, Gold Coast",-27.947034,153.350839,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,856,7-Eleven Pegasus,"2669 Gold Coast Highway, Broadbeach, Queensland, Australia",-28.031868,153.430727,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,55,7-Eleven Phoenician Broadbeach,"The Phoenician, 90 Surf Parade, Broadbeach, Gold Coast",-28.027816,153.43085,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1336,7-Eleven Raceview,"59-63 Raceview Street, Raceview, Queensland, Australia",-27.634837,152.774425,,1,Standard retailer,,,,,,,,,,Gold Coast,
Published,1346,7-Eleven Rangeville,"85 Perth Street, South Toowoomba, Queensland, Australia",-27.57471,151.968969,,1,Standard retailer,,,,,,,,,,Toowoomba,
Published,138,7-Eleven Red Hill,"152 Musgrave Road, Red Hill (Brisbane City), Brisbane North",-27.4554,153.007,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1341,7-eleven Red Hill,"152 Musgrave Road, Red Hill, Queensland, Australia",-27.455465,153.006742,,1,Standard retailer,,,,,,,,,,Brisbane,
